Thoi_Gian_Giay,Nhiet_Do_C
0.0,30.4
0.5,30.4
1.0,30.4
1.5,30.4
2.0,30.3
2.5,30.4
3.0,30.3
3.5,30.4
4.0,30.3
4.5,30.3
5.0,30.3
5.5,30.3
6.0,30.3
6.5,30.3
7.0,30.3
7.5,30.3
8.0,30.3
8.5,30.3
9.0,30.3
9.5,30.3
10.0,30.3
10.5,30.3
11.0,30.3
11.5,30.3
12.0,30.3
12.5,30.2
13.0,30.2
13.5,30.2
14.0,30.2
14.5,30.2
15.0,30.2
15.5,30.2
16.0,30.2
16.5,30.2
17.0,30.2
17.5,30.2
18.0,30.2
18.5,30.2
19.0,30.2
19.5,30.2
20.0,30.2
20.5,30.1
21.0,30.1
21.5,30.1
22.0,30.1
22.5,30.1
23.0,30.1
23.5,30.1
24.0,30.1
24.5,30
25.0,30.1
25.5,30
26.0,30
26.5,30
27.0,30
27.5,30
28.0,30
28.5,30
29.0,29.9
29.5,29.9
30.0,29.9
30.5,29.9
31.0,29.9
31.5,29.9
32.0,29.9
32.5,29.8
33.0,29.8
33.5,29.8
34.0,29.8
34.5,29.8
35.0,29.8
35.5,29.8
36.0,29.8
36.5,29.8
37.0,29.8
37.5,29.7
38.0,29.7
38.5,29.7
39.0,29.7
39.5,29.7
40.0,29.7
40.5,29.7
41.0,29.7
41.5,29.7
42.0,29.7
42.5,29.6
43.0,29.6
43.5,29.6
44.0,29.6
44.5,29.6
45.0,29.6
45.5,29.6
46.0,29.6
46.5,29.6
47.0,29.6
47.5,29.6
48.0,29.6
48.5,29.6
49.0,29.5
49.5,29.5
50.0,29.5
50.5,29.5
51.0,29.5
51.5,29.5
52.0,29.5
52.5,29.5
53.0,29.5
53.5,29.5
54.0,29.5
54.5,29.5
55.0,29.5
55.5,29.5
56.0,29.5
56.5,29.5
57.0,29.4
57.5,29.4
58.0,29.4
58.5,29.4
59.0,29.4
59.5,29.4
60.0,29.4
60.5,29.4
61.0,29.4
61.5,29.4
62.0,29.4
62.5,29.4
63.0,29.4
63.5,29.4
64.0,29.4
64.5,29.4
65.0,29.4
65.5,29.3
66.0,29.4
66.5,29.4
67.0,29.4
67.5,29.3
68.0,29.3
68.5,29.3
69.0,29.3
69.5,29.3
70.0,29.3
70.5,29.3
71.0,29.3
71.5,29.3
72.0,29.3
72.5,29.3
73.0,29.3
73.5,29.3
74.0,29.3
74.5,29.3
75.0,29.3
75.5,29.3
76.0,29.3
76.5,29.2
77.0,29.3
77.5,29.3
78.0,29.2
78.5,29.2
79.0,29.2
79.5,29.3
80.0,29.2
80.5,29.2
81.0,29.2
81.5,29.2
82.0,29.2
82.5,29.2
83.0,29.2
83.5,29.2
84.0,29.2
84.5,29.2
85.0,29.2
85.5,29.2
