Thoi_Gian_Giay,Nhiet_Do_C
0.0,34.4
0.5,34.4
1.0,34.4
1.5,34.4
2.0,34.4
2.5,34.4
3.0,34.4
3.5,34.4
4.0,34.4
4.5,34.4
5.0,34.4
5.5,34.4
6.0,34.4
6.5,34.4
7.0,34.4
7.5,34.4
8.0,34.4
8.5,34.3
9.0,34.4
9.5,34.4
10.0,34.3
10.5,34.3
11.0,34.3
11.5,34.3
12.0,34.3
12.5,34.3
13.0,34.3
13.5,34.3
14.0,34.3
14.5,34.3
15.0,34.3
15.5,34.3
16.0,34.3
16.5,34.3
17.0,34.3
17.5,34.3
18.0,34.3
18.5,34.3
19.0,34.3
19.5,34.3
20.0,34.3
20.5,34.3
21.0,34.3
21.5,34.3
22.0,34.3
22.5,34.3
23.0,34.3
23.5,34.3
24.0,34.3
24.5,34.3
25.0,34.3
25.5,34.3
26.0,34.2
26.5,34.3
27.0,34.3
27.5,34.2
28.0,34.2
28.5,34.3
29.0,34.2
29.5,34.2
30.0,34.2
30.5,34.2
31.0,34.2
31.5,34.2
32.0,34.2
32.5,34.2
33.0,34.2
33.5,34.2
34.0,34.2
34.5,34.2
35.0,34.2
35.5,34.2
36.0,34.2
36.5,34.2
37.0,34.1
37.5,34.2
38.0,34.2
38.5,34.2
39.0,34.1
39.5,34.2
40.0,34.1
40.5,34.1
41.0,34.1
41.5,34.1
42.0,34.1
42.5,34.1
43.0,34.1
43.5,34.1
44.0,34.1
44.5,34.1
45.0,34.1
45.5,34.1
46.0,34.1
46.5,34.1
47.0,34
47.5,34
48.0,34
48.5,34.1
49.0,34
49.5,34
50.0,34
50.5,34
51.0,34
51.5,34
52.0,34
52.5,34
53.0,34
53.5,34
54.0,34
54.5,34
55.0,34
55.5,33.9
56.0,33.9
56.5,33.9
57.0,33.9
57.5,33.9
58.0,33.9
58.5,33.9
59.0,33.9
59.5,33.9
60.0,33.9
60.5,33.9
61.0,33.9
61.5,33.9
62.0,33.9
62.5,33.9
63.0,33.9
63.5,33.9
64.0,33.9
64.5,33.8
65.0,33.8
65.5,33.8
66.0,33.7
66.5,33.7
67.0,33.7
67.5,33.7
68.0,33.7
68.5,33.6
69.0,33.6
69.5,33.6
70.0,33.6
70.5,33.6
71.0,33.6
71.5,33.5
72.0,33.6
72.5,33.6
73.0,33.6
73.5,33.5
74.0,33.5
74.5,33.5
75.0,33.5
75.5,33.5
76.0,33.5
76.5,33.5
77.0,33.5
77.5,33.5
78.0,33.5
78.5,33.5
79.0,33.5
79.5,33.5
80.0,33.5
80.5,33.5
81.0,33.5
81.5,33.5
82.0,33.4
82.5,33.5
83.0,33.5
83.5,33.5
84.0,33.5
84.5,33.5
85.0,33.5
85.5,33.4
86.0,33.5
86.5,33.4
87.0,33.4
87.5,33.4
88.0,33.4
88.5,33.4
89.0,33.4
89.5,33.4
90.0,33.4
90.5,33.4
91.0,33.4
91.5,33.4
92.0,33.4
92.5,33.4
93.0,33.4
93.5,33.4
94.0,33.4
94.5,33.4
95.0,33.4
95.5,33.4
96.0,33.3
96.5,33.4
97.0,33.3
97.5,33.4
98.0,33.3
98.5,33.4
99.0,33.3
99.5,33.4
100.0,33.3
100.5,33.3
101.0,33.3
101.5,33.3
102.0,33.3
102.5,33.3
103.0,33.3
103.5,33.3
104.0,33.3
104.5,33.3
105.0,33.3
105.5,33.3
106.0,33.3
106.5,33.3
107.0,33.3
107.5,33.3
108.0,33.3
108.5,33.3
109.0,33.3
109.5,33.3
110.0,33.3
110.5,33.2
111.0,33.3
111.5,33.3
112.0,33.2
112.5,33.3
113.0,33.2
113.5,33.2
114.0,33.2
114.5,33.2
115.0,33.2
115.5,33.2
116.0,33.2
116.5,33.2
117.0,33.2
117.5,33.2
118.0,33.2
118.5,33.2
119.0,33.2
119.5,33.2
120.0,33.1
120.5,33.1
121.0,33.2
121.5,33.1
122.0,33.1
122.5,33.1
123.0,33.1
123.5,33.1
124.0,33.1
124.5,33.1
125.0,33.1
125.5,33.1
126.0,33.1
126.5,33.1
127.0,33.1
127.5,33.1
128.0,33.1
128.5,33
129.0,33.1
129.5,33.1
130.0,33
130.5,33
131.0,33
131.5,33
132.0,33
132.5,33
133.0,33
133.5,33
134.0,33
134.5,33
135.0,33
135.5,32.9
136.0,32.9
136.5,32.9
137.0,32.9
137.5,32.9
138.0,32.9
138.5,32.9
139.0,32.9
139.5,32.9
140.0,32.9
140.5,32.9
141.0,32.9
141.5,32.9
142.0,32.9
142.5,32.9
143.0,32.9
143.5,32.9
144.0,32.9
144.5,32.8
145.0,32.8
145.5,32.8
146.0,32.8
146.5,32.8
147.0,32.8
147.5,32.8
148.0,32.8
148.5,32.8
149.0,32.8
149.5,32.7
150.0,32.8
150.5,32.8
151.0,32.7
151.5,32.7
152.0,32.7
152.5,32.7
153.0,32.7
153.5,32.7
154.0,32.7
154.5,32.7
155.0,32.7
155.5,32.7
156.0,32.7
156.5,32.7
157.0,32.7
157.5,32.7
158.0,32.7
158.5,32.6
159.0,32.6
159.5,32.6
160.0,32.6
160.5,32.6
161.0,32.6
161.5,32.6
162.0,32.6
162.5,32.6
163.0,32.6
163.5,32.6
164.0,32.6
164.5,32.5
165.0,32.6
165.5,32.6
166.0,32.5
166.5,32.5
167.0,32.5
167.5,32.5
168.0,32.5
168.5,32.5
169.0,32.5
169.5,32.5
170.0,32.5
170.5,32.5
171.0,32.5
171.5,32.5
172.0,32.4
172.5,32.5
173.0,32.4
173.5,32.4
174.0,32.4
174.5,32.4
175.0,32.4
175.5,32.4
176.0,32.4
176.5,32.4
177.0,32.4
177.5,32.4
178.0,32.4
178.5,32.4
179.0,32.4
179.5,32.4
180.0,32.3
180.5,32.4
181.0,32.4
181.5,32.3
182.0,32.4
182.5,32.4
183.0,32.3
183.5,32.3
184.0,32.3
184.5,32.3
185.0,32.3
185.5,32.3
186.0,32.3
186.5,32.3
187.0,32.3
187.5,32.3
188.0,32.3
188.5,32.3
189.0,32.3
189.5,32.3
190.0,32.2
190.5,32.2
191.0,32.2
191.5,32.2
192.0,32.2
192.5,32.2
193.0,32.2
193.5,32.2
194.0,32.2
194.5,32.2
195.0,32.1
195.5,32.1
196.0,32.2
196.5,32.1
197.0,32.1
197.5,32.1
198.0,32.1
198.5,32.1
199.0,32.1
199.5,32.1
200.0,32.1
200.5,32.1
201.0,32.1
201.5,32.1
202.0,32.1
202.5,32
203.0,32
203.5,32
204.0,32
204.5,32
205.0,32
205.5,32
206.0,32
206.5,32
207.0,32
207.5,32
208.0,32
208.5,32
209.0,32
209.5,31.9
210.0,31.9
210.5,31.9
211.0,31.9
211.5,31.9
212.0,31.9
212.5,31.9
213.0,31.9
213.5,31.9
214.0,31.9
214.5,31.9
215.0,31.9
215.5,31.9
216.0,31.9
216.5,31.9
217.0,31.8
217.5,31.9
218.0,31.8
218.5,31.8
219.0,31.8
219.5,31.8
220.0,31.8
220.5,31.8
221.0,31.8
221.5,31.8
222.0,31.8
222.5,31.8
223.0,31.7
223.5,31.7
224.0,31.7
224.5,31.7
225.0,31.7
225.5,31.7
226.0,31.7
226.5,31.7
227.0,31.7
227.5,31.7
228.0,31.7
228.5,31.7
229.0,31.7
229.5,31.7
230.0,31.6
230.5,31.6
231.0,31.6
231.5,31.6
232.0,31.6
232.5,31.6
233.0,31.6
233.5,31.6
234.0,31.6
234.5,31.6
235.0,31.6
235.5,31.6
236.0,31.6
236.5,31.6
237.0,31.5
237.5,31.5
238.0,31.5
238.5,31.5
239.0,31.5
239.5,31.5
240.0,31.5
240.5,31.5
241.0,31.5
241.5,31.5
242.0,31.5
242.5,31.5
243.0,31.5
243.5,31.4
244.0,31.4
244.5,31.5
245.0,31.4
245.5,31.4
246.0,31.4
246.5,31.4
247.0,31.4
247.5,31.4
248.0,31.4
248.5,31.4
249.0,31.3
249.5,31.4
250.0,31.4
250.5,31.4
251.0,31.3
251.5,31.3
252.0,31.3
252.5,31.3
253.0,31.3
253.5,31.3
254.0,31.3
254.5,31.3
255.0,31.3
255.5,31.3
256.0,31.2
256.5,31.2
257.0,31.2
257.5,31.2
258.0,31.2
258.5,31.2
259.0,31.2
259.5,31.2
260.0,31.2
260.5,31.2
261.0,31.2
261.5,31.2
262.0,31.2
262.5,31.2
263.0,31.1
263.5,31.1
264.0,31.1
264.5,31.1
265.0,31.1
265.5,31.1
266.0,31.1
266.5,31.1
267.0,31.1
267.5,31.1
268.0,31.1
268.5,31.1
269.0,31
269.5,31
270.0,31
270.5,31
271.0,31
271.5,31
272.0,31
272.5,31
273.0,31
273.5,31
274.0,30.9
274.5,30.9
275.0,30.9
275.5,30.9
276.0,30.9
276.5,30.9
277.0,30.9
277.5,30.9
278.0,30.9
278.5,30.9
279.0,30.9
279.5,30.9
280.0,30.9
280.5,30.8
281.0,30.8
281.5,30.8
282.0,30.8
282.5,30.8
283.0,30.8
283.5,30.8
284.0,30.8
284.5,30.8
285.0,30.8
285.5,30.8
286.0,30.8
286.5,30.8
287.0,30.7
287.5,30.7
288.0,30.7
288.5,30.7
289.0,30.7
289.5,30.7
290.0,30.7
290.5,30.7
291.0,30.7
291.5,30.7
292.0,30.6
292.5,30.6
293.0,30.7
293.5,30.6
294.0,30.6
294.5,30.6
295.0,30.6
295.5,30.6
296.0,30.6
296.5,30.6
297.0,30.6
297.5,30.5
298.0,30.6
298.5,30.6
299.0,30.5
299.5,30.5
300.0,30.5
300.5,30.5
301.0,30.5
301.5,30.5
302.0,30.5
302.5,30.5
303.0,30.5
303.5,30.5
304.0,30.5
304.5,30.5
305.0,30.5
305.5,30.4
306.0,30.4
306.5,30.4
307.0,30.4
307.5,30.4
308.0,30.4
308.5,30.4
309.0,30.4
309.5,30.4
310.0,30.4
310.5,30.4
311.0,30.4
311.5,30.4
312.0,30.4
312.5,30.3
313.0,30.4
313.5,30.4
314.0,30.4
314.5,30.3
315.0,30.3
315.5,30.3
316.0,30.3
316.5,30.3
317.0,30.3
317.5,30.3
318.0,30.3
318.5,30.3
319.0,30.3
319.5,30.3
320.0,30.2
320.5,30.3
321.0,30.3
321.5,30.2
322.0,30.3
322.5,30.2
323.0,30.2
323.5,30.2
324.0,30.2
324.5,30.2
325.0,30.2
325.5,30.2
326.0,30.2
326.5,30.2
327.0,30.2
327.5,30.2
328.0,30.2
328.5,30.2
329.0,30.2
329.5,30.2
330.0,30.1
330.5,30.1
331.0,30.1
331.5,30.1
332.0,30.1
332.5,30.1
333.0,30.1
333.5,30.1
334.0,30.1
334.5,30
335.0,30.1
335.5,30
336.0,30.1
336.5,30
337.0,30
337.5,30.1
338.0,30
338.5,30
339.0,30
339.5,30
340.0,30
340.5,30
341.0,30
341.5,30
342.0,30
342.5,30
343.0,29.9
343.5,29.9
344.0,29.9
344.5,29.9
345.0,29.9
345.5,29.9
346.0,29.9
346.5,29.9
347.0,29.9
347.5,29.9
348.0,29.9
348.5,29.9
349.0,29.8
349.5,29.8
350.0,29.8
350.5,29.8
351.0,29.8
351.5,29.8
352.0,29.8
352.5,29.8
353.0,29.8
353.5,29.8
354.0,29.8
354.5,29.8
355.0,29.8
355.5,29.8
356.0,29.7
356.5,29.8
357.0,29.7
357.5,29.7
358.0,29.7
358.5,29.7
359.0,29.7
359.5,29.7
360.0,29.7
360.5,29.7
361.0,29.7
361.5,29.7
362.0,29.7
362.5,29.7
363.0,29.6
363.5,29.6
364.0,29.6
364.5,29.6
365.0,29.6
365.5,29.6
366.0,29.6
366.5,29.6
367.0,29.6
367.5,29.6
368.0,29.6
368.5,29.6
369.0,29.6
369.5,29.6
370.0,29.6
370.5,29.5
371.0,29.5
371.5,29.5
372.0,29.5
372.5,29.5
373.0,29.5
373.5,29.5
374.0,29.5
374.5,29.5
375.0,29.5
375.5,29.5
376.0,29.4
376.5,29.5
377.0,29.4
377.5,29.4
378.0,29.4
378.5,29.4
379.0,29.4
379.5,29.4
380.0,29.4
380.5,29.4
381.0,29.4
381.5,29.4
382.0,29.3
382.5,29.4
383.0,29.3
383.5,29.3
384.0,29.3
384.5,29.3
385.0,29.3
385.5,29.3
386.0,29.3
386.5,29.3
387.0,29.3
387.5,29.2
388.0,29.3
388.5,29.3
389.0,29.3
389.5,29.2
390.0,29.3
390.5,29.2
391.0,29.2
391.5,29.2
392.0,29.2
392.5,29.2
393.0,29.2
393.5,29.2
394.0,29.2
394.5,29.2
395.0,29.2
395.5,29.2
396.0,29.2
396.5,29.2
397.0,29.1
397.5,29.1
398.0,29.1
398.5,29.1
399.0,29.1
399.5,29.1
400.0,29.1
400.5,29.1
401.0,29.1
401.5,29.1
402.0,29.1
402.5,29.1
403.0,29
403.5,29
404.0,29
404.5,29
405.0,29
405.5,29
406.0,29
406.5,29
407.0,29
407.5,29
408.0,28.9
408.5,28.9
409.0,28.9
409.5,28.9
410.0,28.9
410.5,28.9
411.0,28.9
411.5,28.9
412.0,28.9
412.5,28.9
413.0,28.8
413.5,28.8
414.0,28.8
414.5,28.8
415.0,28.8
415.5,28.8
416.0,28.8
416.5,28.8
417.0,28.7
417.5,28.7
418.0,28.7
418.5,28.7
419.0,28.7
419.5,28.7
420.0,28.7
420.5,28.7
421.0,28.7
421.5,28.6
422.0,28.7
422.5,28.7
423.0,28.6
423.5,28.6
424.0,28.6
424.5,28.6
425.0,28.6
425.5,28.6
426.0,28.6
426.5,28.6
427.0,28.6
427.5,28.6
428.0,28.6
428.5,28.6
429.0,28.6
429.5,28.5
430.0,28.5
430.5,28.5
431.0,28.5
431.5,28.5
432.0,28.5
432.5,28.5
433.0,28.5
433.5,28.5
434.0,28.4
434.5,28.4
435.0,28.4
435.5,28.4
436.0,28.4
436.5,28.4
437.0,28.4
437.5,28.4
438.0,28.4
438.5,28.4
439.0,28.4
439.5,28.4
440.0,28.4
440.5,28.4
441.0,28.3
441.5,28.3
442.0,28.3
442.5,28.3
443.0,28.3
443.5,28.3
444.0,28.2
444.5,28.2
445.0,28.2
445.5,28.1
446.0,28.1
446.5,28.1
447.0,28
447.5,28
448.0,28
448.5,28
449.0,27.9
449.5,27.9
450.0,27.9
450.5,27.9
451.0,27.9
451.5,27.9
452.0,27.9
452.5,27.9
453.0,27.9
453.5,27.9
454.0,27.9
454.5,27.9
455.0,27.9
455.5,27.8
456.0,27.9
456.5,27.9
457.0,27.8
457.5,27.9
458.0,27.8
458.5,27.8
459.0,27.8
459.5,27.8
460.0,27.9
460.5,27.8
461.0,27.8
461.5,27.9
462.0,27.8
462.5,27.8
463.0,27.8
463.5,27.8
464.0,27.8
464.5,27.8
465.0,27.8
465.5,27.8
466.0,27.8
466.5,27.8
467.0,27.8
467.5,27.8
468.0,27.8
468.5,27.8
469.0,27.8
469.5,27.8
470.0,27.8
470.5,27.8
471.0,27.8
471.5,27.8
472.0,27.8
472.5,27.7
473.0,27.7
473.5,27.8
474.0,27.7
474.5,27.7
475.0,27.7
475.5,27.7
476.0,27.7
476.5,27.7
477.0,27.7
477.5,27.7
478.0,27.7
478.5,27.7
479.0,27.7
479.5,27.7
480.0,27.7
480.5,27.7
481.0,27.7
481.5,27.7
482.0,27.6
482.5,27.7
483.0,27.6
483.5,27.6
484.0,27.6
484.5,27.6
485.0,27.6
485.5,27.6
486.0,27.6
486.5,27.6
487.0,27.6
487.5,27.6
488.0,27.6
488.5,27.6
489.0,27.6
489.5,27.6
490.0,27.6
490.5,27.6
491.0,27.5
491.5,27.5
492.0,27.5
492.5,27.5
493.0,27.5
493.5,27.5
494.0,27.5
494.5,27.5
495.0,27.5
495.5,27.5
496.0,27.5
496.5,27.5
497.0,27.5
497.5,27.5
498.0,27.5
498.5,27.5
499.0,27.4
499.5,27.4
500.0,27.4
500.5,27.4
501.0,27.4
501.5,27.4
502.0,27.4
502.5,27.4
503.0,27.4
503.5,27.4
504.0,27.4
504.5,27.4
505.0,27.4
505.5,27.4
506.0,27.3
506.5,27.4
507.0,27.3
507.5,27.3
508.0,27.3
508.5,27.3
509.0,27.3
509.5,27.3
510.0,27.3
510.5,27.3
511.0,27.3
511.5,27.3
512.0,27.3
512.5,27.3
513.0,27.3
513.5,27.3
514.0,27.3
514.5,27.3
515.0,27.2
515.5,27.3
516.0,27.2
516.5,27.2
517.0,27.2
517.5,27.2
518.0,27.2
518.5,27.2
519.0,27.2
519.5,27.2
520.0,27.2
520.5,27.2
521.0,27.2
521.5,27.2
522.0,27.2
522.5,27.2
523.0,27.2
523.5,27.1
524.0,27.1
524.5,27.1
525.0,27.1
525.5,27.1
526.0,27.1
526.5,27.1
527.0,27.1
527.5,27.1
528.0,27.1
528.5,27.1
529.0,27.1
529.5,27.1
530.0,27.1
530.5,27.1
531.0,27.1
531.5,27
532.0,27
532.5,27.1
533.0,27
533.5,27
534.0,27
534.5,27
535.0,27
535.5,27
536.0,27
536.5,27
537.0,27
537.5,27
538.0,27
538.5,27
539.0,27
539.5,26.9
540.0,26.9
540.5,27
541.0,27
