Thoi_Gian_Giay,Nhiet_Do_C
0.0,30.8
0.5,30.7
1.0,30.7
1.5,30.7
2.0,30.7
2.5,30.7
3.0,30.7
3.5,30.7
4.0,30.7
4.5,30.7
5.0,30.7
5.5,30.7
6.0,30.7
6.5,30.7
7.0,30.7
7.5,30.7
8.0,30.7
8.5,30.7
9.0,30.7
9.5,30.7
10.0,30.7
10.5,30.7
11.0,30.7
11.5,30.7
12.0,30.7
12.5,30.6
13.0,30.6
13.5,30.6
14.0,30.6
14.5,30.6
15.0,30.6
15.5,30.6
16.0,30.6
16.5,30.6
17.0,30.6
17.5,30.6
18.0,30.6
18.5,30.6
19.0,30.6
19.5,30.6
20.0,30.6
20.5,30.6
21.0,30.6
21.5,30.6
22.0,30.6
22.5,30.6
23.0,30.6
23.5,30.6
24.0,30.5
24.5,30.5
25.0,30.5
25.5,30.5
26.0,30.5
26.5,30.5
27.0,30.5
27.5,30.5
28.0,30.5
28.5,30.5
29.0,30.5
29.5,30.5
30.0,30.5
30.5,30.5
31.0,30.5
31.5,30.5
32.0,30.5
32.5,30.4
33.0,30.4
33.5,30.4
34.0,30.4
34.5,30.4
35.0,30.4
35.5,30.4
36.0,30.4
36.5,30.4
37.0,30.4
37.5,30.4
38.0,30.4
38.5,30.4
39.0,30.3
39.5,30.3
40.0,30.3
40.5,30.3
41.0,30.3
41.5,30.3
42.0,30.2
42.5,30.2
43.0,30.2
43.5,30.2
44.0,30.1
44.5,30.1
45.0,30.1
45.5,30
46.0,30
46.5,30
47.0,30
47.5,29.9
48.0,29.9
48.5,29.8
49.0,29.8
49.5,29.8
50.0,29.8
50.5,29.8
51.0,29.7
51.5,29.7
52.0,29.6
52.5,29.6
53.0,29.6
53.5,29.5
54.0,29.6
54.5,29.5
55.0,29.5
55.5,29.5
56.0,29.4
56.5,29.4
57.0,29.4
57.5,29.3
58.0,29.3
58.5,29.3
59.0,29.2
59.5,29.2
60.0,29.1
60.5,29.1
61.0,29.1
61.5,29
62.0,29
62.5,29
63.0,28.9
63.5,28.8
64.0,28.8
64.5,28.8
65.0,28.8
65.5,28.7
66.0,28.7
66.5,28.6
67.0,28.6
67.5,28.6
68.0,28.6
68.5,28.6
69.0,28.5
69.5,28.5
70.0,28.5
70.5,28.5
71.0,28.4
71.5,28.4
72.0,28.4
72.5,28.3
73.0,28.3
73.5,28.3
74.0,28.3
74.5,28.2
75.0,28.3
75.5,28.2
76.0,28.2
76.5,28.1
77.0,28.1
77.5,28.1
78.0,28.1
78.5,28
79.0,28
79.5,28
80.0,28
80.5,27.9
81.0,27.9
81.5,27.9
82.0,27.9
82.5,27.9
83.0,27.9
83.5,27.8
84.0,27.8
84.5,27.8
85.0,27.8
85.5,27.7
86.0,27.7
86.5,27.7
87.0,27.7
87.5,27.7
88.0,27.7
88.5,27.6
89.0,27.6
89.5,27.6
90.0,27.6
90.5,27.6
91.0,27.5
91.5,27.5
92.0,27.5
92.5,27.5
93.0,27.5
