Thoi_Gian_Giay,Nhiet_Do_C
0.0,29.9
0.5,29.9
1.0,30
1.5,30
2.0,30
2.5,29.9
3.0,29.9
3.5,29.9
4.0,29.9
4.5,29.9
5.0,29.9
5.5,29.9
6.0,29.9
6.5,30
7.0,30
7.5,29.9
8.0,29.9
8.5,30
9.0,29.9
9.5,29.9
10.0,30
10.5,29.9
11.0,30
11.5,30
12.0,29.9
12.5,30
13.0,29.9
13.5,29.9
14.0,29.9
14.5,30
15.0,29.9
15.5,30
16.0,29.9
16.5,29.9
17.0,29.9
17.5,30
18.0,29.9
18.5,30
19.0,30
19.5,30
20.0,30
20.5,30
21.0,30
21.5,30
22.0,30
22.5,30
23.0,30
23.5,29.9
24.0,30
24.5,30
25.0,29.9
25.5,29.9
26.0,30
26.5,29.9
27.0,30
27.5,30
28.0,30
28.5,30
29.0,30
29.5,30
30.0,30
30.5,30
31.0,30
31.5,30
32.0,30
32.5,30
33.0,30
33.5,30
34.0,30
34.5,30
35.0,30
35.5,30
36.0,30
36.5,29.9
37.0,30
37.5,30
38.0,30
38.5,30
39.0,30
39.5,30
40.0,30
40.5,30
41.0,30
41.5,30
42.0,30
42.5,30
43.0,30
43.5,30
44.0,30
44.5,30
45.0,30
45.5,30
46.0,30
46.5,30
47.0,30
47.5,30
48.0,30
48.5,30
49.0,30
49.5,30
50.0,30
50.5,30
51.0,30
51.5,30
52.0,30
52.5,30
53.0,30
53.5,30
54.0,30
54.5,30
55.0,30
55.5,30
56.0,30
56.5,30
57.0,30
57.5,30
58.0,30.1
58.5,30
59.0,30
59.5,30
60.0,30
60.5,30
61.0,30
61.5,30
62.0,30
62.5,30
63.0,30
63.5,30
64.0,30
64.5,30
65.0,30
65.5,30
66.0,30
66.5,30
67.0,30
67.5,30
68.0,30
68.5,30
69.0,30
69.5,30
70.0,30
70.5,30
71.0,30
71.5,30
72.0,30
72.5,30
73.0,30
73.5,30
74.0,30
74.5,30
75.0,30
75.5,30
76.0,30.1
76.5,30
77.0,30
77.5,30
78.0,30.1
78.5,30
79.0,30
79.5,30
80.0,30
80.5,30
81.0,30
81.5,30
82.0,30.1
82.5,30.1
83.0,30.1
83.5,30
84.0,30.1
84.5,30.1
85.0,30
85.5,30.1
86.0,30.1
86.5,30
87.0,30
87.5,30.1
88.0,30.1
88.5,30.1
89.0,30.1
89.5,30.1
90.0,30.1
90.5,30.1
91.0,30
91.5,30.1
