Thoi_Gian_Giay,Nhiet_Do_C
0.0,38.8
0.5,38.8
1.0,38.7
1.5,38.8
2.0,38.8
2.5,38.8
3.0,38.8
3.5,38.8
4.0,38.8
4.5,38.8
5.0,38.9
5.5,38.9
6.0,38.9
6.5,39
7.0,38.9
7.5,38.9
8.0,38.9
8.5,38.9
9.0,38.9
9.5,38.9
10.0,38.9
10.5,38.9
11.0,38.8
11.5,38.7
12.0,38.6
12.5,38.6
13.0,38.5
13.5,38.3
14.0,38.3
14.5,38.3
15.0,38.3
15.5,38.2
16.0,38.2
16.5,38.2
17.0,38.2
17.5,38.2
18.0,38.1
18.5,38
19.0,38.1
19.5,38.1
20.0,38
20.5,38
21.0,37.9
21.5,37.8
22.0,37.7
22.5,37.7
23.0,37.6
23.5,37.5
24.0,37.4
24.5,37.4
25.0,37.3
25.5,37.2
26.0,37.2
26.5,37.1
27.0,37
27.5,36.8
28.0,36.7
28.5,36.6
29.0,36.6
29.5,36.5
30.0,36.4
30.5,36.4
31.0,36.4
31.5,36.3
32.0,36.3
32.5,36.3
33.0,36.3
33.5,36.2
34.0,36.2
34.5,36.1
35.0,36.1
35.5,36.1
36.0,36.1
36.5,36
37.0,36
37.5,35.9
38.0,35.9
38.5,35.8
39.0,35.8
39.5,35.8
40.0,35.7
40.5,35.7
41.0,35.7
41.5,35.6
42.0,35.6
42.5,35.6
43.0,35.5
43.5,35.5
44.0,35.4
44.5,35.4
45.0,35.3
45.5,35.3
46.0,35.3
46.5,35.2
47.0,35.2
47.5,35.1
48.0,35.1
48.5,35.1
49.0,35
49.5,35
50.0,34.9
50.5,34.9
51.0,34.9
51.5,34.8
52.0,34.8
52.5,34.8
53.0,34.6
53.5,34.7
54.0,34.6
54.5,34.6
55.0,34.5
55.5,34.5
56.0,34.4
56.5,34.5
57.0,34.3
57.5,34.3
58.0,34.2
58.5,34.3
59.0,34.2
59.5,34.2
60.0,34.1
60.5,34.1
61.0,34
61.5,34
62.0,34
62.5,33.9
63.0,33.9
63.5,33.9
64.0,33.8
64.5,33.8
65.0,33.7
65.5,33.7
66.0,33.7
66.5,33.6
67.0,33.6
67.5,33.5
68.0,33.5
68.5,33.5
69.0,33.4
69.5,33.4
70.0,33.3
70.5,33.4
71.0,33.3
71.5,33.3
72.0,33.3
72.5,33.2
73.0,33.2
73.5,33.2
74.0,33.1
74.5,33
75.0,33
75.5,33
76.0,32.9
76.5,32.9
77.0,32.9
77.5,32.9
78.0,32.8
78.5,32.8
79.0,32.7
79.5,32.7
80.0,32.8
80.5,32.7
81.0,32.7
81.5,32.7
82.0,32.6
82.5,32.6
83.0,32.6
83.5,32.6
84.0,32.6
84.5,32.5
85.0,32.5
85.5,32.5
86.0,32.4
86.5,32.4
87.0,32.4
87.5,32.4
88.0,32.3
88.5,32.3
89.0,32.3
89.5,32.2
90.0,32.2
90.5,32.3
91.0,32.3
91.5,32.3
92.0,32.2
92.5,32.2
93.0,32.2
93.5,32.1
94.0,32.1
94.5,32.1
95.0,32.1
95.5,32
96.0,32.1
96.5,32
97.0,32
97.5,32
98.0,31.9
98.5,32
99.0,31.9
99.5,31.9
100.0,31.9
100.5,31.9
101.0,31.9
101.5,31.9
102.0,31.8
102.5,31.8
103.0,31.8
103.5,31.8
104.0,31.8
104.5,31.8
105.0,31.8
105.5,31.7
106.0,31.8
106.5,31.8
107.0,31.7
107.5,31.7
108.0,31.7
108.5,31.7
109.0,31.7
109.5,31.7
110.0,31.7
110.5,31.6
111.0,31.7
111.5,31.7
112.0,31.6
112.5,31.7
113.0,31.6
113.5,31.6
114.0,31.6
114.5,31.6
115.0,31.5
115.5,31.5
116.0,31.6
116.5,31.6
117.0,31.6
117.5,31.5
118.0,31.5
118.5,31.5
119.0,31.5
119.5,31.5
120.0,31.5
120.5,31.5
121.0,31.5
121.5,31.5
122.0,31.5
122.5,31.5
123.0,31.4
123.5,31.4
124.0,31.4
124.5,31.4
125.0,31.4
125.5,31.4
