Thoi_Gian_Giay,Nhiet_Do_C
0.0,45.7
0.5,45.7
1.0,45.7
1.5,45.7
2.0,45.6
2.5,45.6
3.0,45.6
3.5,45.6
4.0,45.6
4.5,45.6
5.0,45.5
5.5,45.5
6.0,45.5
6.5,45.4
7.0,45.4
7.5,45.3
8.0,45.3
8.5,45.3
9.0,45.2
9.5,45.2
10.0,45.1
10.5,45
11.0,45
11.5,45
12.0,44.9
12.5,44.9
13.0,44.8
13.5,44.8
14.0,44.7
14.5,44.7
15.0,44.6
15.5,44.6
16.0,44.5
16.5,44.4
17.0,44.4
17.5,44.3
18.0,44.3
18.5,44.3
19.0,44.2
19.5,44.2
20.0,44.1
20.5,44.1
21.0,44.1
21.5,44
22.0,44
22.5,43.9
23.0,43.9
23.5,43.9
24.0,43.8
24.5,43.7
25.0,43.7
25.5,43.6
26.0,43.6
26.5,43.6
27.0,43.5
27.5,43.5
28.0,43.4
28.5,43.4
29.0,43.4
29.5,43.3
30.0,43.3
30.5,43.2
31.0,43.2
31.5,43.1
32.0,43.1
32.5,43.1
33.0,43.1
33.5,43
34.0,43
34.5,42.9
35.0,42.9
35.5,42.8
36.0,42.8
36.5,42.8
37.0,42.7
37.5,42.7
38.0,42.6
38.5,42.6
39.0,42.5
39.5,42.5
40.0,42.5
40.5,42.4
41.0,42.4
41.5,42.4
42.0,42.3
42.5,42.3
43.0,42.2
43.5,42.2
44.0,42.1
44.5,42.1
45.0,42.1
45.5,42
46.0,42
46.5,42
47.0,41.9
47.5,41.9
48.0,41.8
48.5,41.8
49.0,41.8
49.5,41.7
50.0,41.7
50.5,41.6
51.0,41.6
51.5,41.6
52.0,41.5
52.5,41.5
53.0,41.5
53.5,41.4
54.0,41.4
54.5,41.4
55.0,41.3
55.5,41.3
56.0,41.2
56.5,41.2
57.0,41.2
57.5,41.1
58.0,41.1
58.5,41.1
59.0,41
59.5,41
60.0,41
60.5,40.9
61.0,40.9
61.5,40.8
62.0,40.8
62.5,40.8
63.0,40.8
63.5,40.7
64.0,40.7
64.5,40.6
65.0,40.6
65.5,40.6
66.0,40.5
66.5,40.5
67.0,40.5
67.5,40.4
68.0,40.3
68.5,40.3
69.0,40.3
69.5,40.3
70.0,40.2
70.5,40.2
71.0,40.2
71.5,40.1
72.0,40.1
72.5,40.1
73.0,40
73.5,40
74.0,40
74.5,39.9
75.0,39.9
75.5,39.8
76.0,39.8
76.5,39.8
77.0,39.7
77.5,39.7
78.0,39.7
78.5,39.6
79.0,39.6
79.5,39.6
80.0,39.5
80.5,39.5
81.0,39.5
81.5,39.4
82.0,39.4
82.5,39.3
83.0,39.3
83.5,39.3
84.0,39.3
84.5,39.2
85.0,39.2
85.5,39.1
86.0,39.1
86.5,39.1
87.0,39.1
87.5,39
88.0,39
88.5,38.9
89.0,38.9
89.5,38.9
90.0,38.8
90.5,38.8
91.0,38.8
91.5,38.8
92.0,38.7
92.5,38.6
93.0,38.6
93.5,38.6
94.0,38.5
94.5,38.5
95.0,38.5
95.5,38.4
96.0,38.4
96.5,38.4
97.0,38.4
97.5,38.3
98.0,38.2
98.5,38.2
99.0,38.2
99.5,38.2
100.0,38.1
100.5,38.1
101.0,38
101.5,38
102.0,38
102.5,37.9
103.0,37.9
103.5,37.9
104.0,37.8
104.5,37.8
105.0,37.8
105.5,37.7
106.0,37.7
106.5,37.7
107.0,37.7
107.5,37.6
108.0,37.6
108.5,37.6
109.0,37.5
109.5,37.5
110.0,37.4
110.5,37.4
111.0,37.4
111.5,37.3
112.0,37.3
112.5,37.3
113.0,37.2
113.5,37.2
114.0,37.2
114.5,37.1
115.0,37.1
115.5,37
116.0,37
116.5,37
117.0,37
117.5,36.9
118.0,36.8
118.5,36.8
119.0,36.8
119.5,36.8
120.0,36.7
120.5,36.7
121.0,36.6
121.5,36.6
122.0,36.6
122.5,36.5
123.0,36.5
123.5,36.5
124.0,36.4
124.5,36.4
125.0,36.3
125.5,36.3
126.0,36.3
126.5,36.2
127.0,36.2
127.5,36.2
128.0,36.1
128.5,36.1
129.0,36.1
129.5,36
130.0,36
130.5,35.9
131.0,35.9
131.5,35.9
132.0,35.8
132.5,35.8
133.0,35.7
133.5,35.7
134.0,35.7
134.5,35.7
135.0,35.6
135.5,35.6
136.0,35.5
136.5,35.5
137.0,35.4
137.5,35.4
138.0,35.4
138.5,35.3
139.0,35.3
139.5,35.3
140.0,35.2
140.5,35.2
141.0,35.2
141.5,35.1
142.0,35.1
142.5,35
143.0,35
143.5,34.9
144.0,34.9
144.5,34.9
145.0,34.8
145.5,34.8
146.0,34.7
146.5,34.7
147.0,34.7
147.5,34.7
148.0,34.6
148.5,34.6
149.0,34.5
149.5,34.5
150.0,34.5
150.5,34.4
151.0,34.4
151.5,34.3
152.0,34.3
152.5,34.3
153.0,34.2
153.5,34.2
154.0,34.2
154.5,34.1
155.0,34.1
155.5,34
156.0,34
156.5,34
157.0,34
157.5,33.9
158.0,33.9
158.5,33.8
159.0,33.8
159.5,33.8
160.0,33.7
160.5,33.7
161.0,33.7
161.5,33.7
162.0,33.6
162.5,33.6
163.0,33.5
163.5,33.5
164.0,33.5
164.5,33.4
165.0,33.4
165.5,33.4
166.0,33.4
166.5,33.3
167.0,33.3
167.5,33.3
168.0,33.3
168.5,33.2
169.0,33.2
169.5,33.2
170.0,33.2
170.5,33.1
171.0,33.1
171.5,33
172.0,33
172.5,33
173.0,32.9
173.5,32.9
174.0,32.9
174.5,32.9
175.0,32.8
175.5,32.8
176.0,32.8
176.5,32.8
177.0,32.7
177.5,32.7
178.0,32.7
178.5,32.6
179.0,32.6
179.5,32.6
180.0,32.6
180.5,32.5
181.0,32.5
181.5,32.5
182.0,32.5
182.5,32.5
183.0,32.4
183.5,32.4
184.0,32.4
184.5,32.3
185.0,32.3
185.5,32.3
186.0,32.3
186.5,32.2
187.0,32.2
187.5,32.2
188.0,32.2
188.5,32.1
189.0,32.1
189.5,32.1
190.0,32.1
190.5,32
191.0,32
191.5,32
192.0,32
192.5,31.9
193.0,31.9
193.5,31.9
194.0,31.9
194.5,31.9
195.0,31.8
195.5,31.8
196.0,31.8
196.5,31.8
197.0,31.7
197.5,31.7
198.0,31.7
198.5,31.7
199.0,31.7
199.5,31.6
200.0,31.6
200.5,31.6
201.0,31.6
201.5,31.5
202.0,31.5
202.5,31.5
203.0,31.5
203.5,31.4
204.0,31.4
204.5,31.4
205.0,31.4
205.5,31.4
206.0,31.3
206.5,31.3
207.0,31.3
207.5,31.3
208.0,31.2
208.5,31.2
209.0,31.2
209.5,31.2
210.0,31.2
210.5,31.1
211.0,31.1
211.5,31.1
212.0,31
212.5,31
213.0,31
213.5,31
214.0,31
214.5,30.9
215.0,30.9
215.5,30.9
216.0,30.8
216.5,30.8
217.0,30.8
217.5,30.8
218.0,30.8
218.5,30.7
219.0,30.7
219.5,30.7
220.0,30.7
220.5,30.6
221.0,30.6
221.5,30.6
222.0,30.6
222.5,30.5
223.0,30.5
223.5,30.5
224.0,30.5
224.5,30.5
225.0,30.4
225.5,30.4
226.0,30.4
226.5,30.4
227.0,30.3
227.5,30.3
228.0,30.3
228.5,30.2
229.0,30.3
229.5,30.2
230.0,30.2
230.5,30.2
231.0,30.1
231.5,30.1
232.0,30.1
232.5,30.1
233.0,30.1
233.5,30.1
234.0,30
234.5,30
235.0,30
235.5,29.9
236.0,29.9
236.5,29.9
237.0,29.9
237.5,29.8
238.0,29.9
238.5,29.8
239.0,29.8
239.5,29.8
240.0,29.8
240.5,29.7
241.0,29.7
241.5,29.7
242.0,29.7
242.5,29.6
243.0,29.6
243.5,29.6
244.0,29.6
244.5,29.6
245.0,29.5
245.5,29.5
246.0,29.5
246.5,29.5
247.0,29.4
247.5,29.4
248.0,29.4
248.5,29.3
249.0,29.3
249.5,29.3
250.0,29.3
250.5,29.3
251.0,29.3
251.5,29.2
252.0,29.2
252.5,29.2
253.0,29.2
253.5,29.2
254.0,29.1
254.5,29.1
255.0,29.1
255.5,29.1
256.0,29
256.5,29
257.0,29
257.5,29
258.0,29
258.5,28.9
259.0,28.9
259.5,28.9
260.0,28.9
260.5,28.8
261.0,28.8
261.5,28.8
262.0,28.8
262.5,28.8
263.0,28.7
263.5,28.7
264.0,28.7
264.5,28.7
265.0,28.7
265.5,28.6
266.0,28.6
266.5,28.6
267.0,28.6
267.5,28.5
268.0,28.5
268.5,28.5
269.0,28.5
269.5,28.5
270.0,28.4
270.5,28.4
271.0,28.4
271.5,28.4
272.0,28.3
272.5,28.3
273.0,28.3
273.5,28.3
274.0,28.3
274.5,28.2
275.0,28.2
275.5,28.2
276.0,28.2
276.5,28.2
277.0,28.1
277.5,28.1
278.0,28.1
278.5,28.1
279.0,28.1
279.5,28
280.0,28
280.5,28
281.0,28
281.5,28
282.0,28
282.5,27.9
283.0,27.9
283.5,27.9
284.0,27.9
284.5,27.9
285.0,27.8
285.5,27.8
286.0,27.8
286.5,27.8
287.0,27.7
287.5,27.7
288.0,27.7
288.5,27.7
289.0,27.7
289.5,27.6
290.0,27.6
290.5,27.6
291.0,27.6
291.5,27.5
292.0,27.4
292.5,27.4
293.0,27.3
293.5,27.3
294.0,27.3
294.5,27.2
295.0,27.2
295.5,27.2
296.0,27.1
296.5,27.1
297.0,27
297.5,27
298.0,27
298.5,26.9
299.0,26.9
299.5,26.8
300.0,26.8
300.5,26.7
301.0,26.7
301.5,26.6
302.0,26.6
302.5,26.5
303.0,26.5
303.5,26.4
304.0,26.4
304.5,26.3
305.0,26.3
305.5,26.2
306.0,26.2
306.5,26.1
307.0,26.1
307.5,26
308.0,25.9
308.5,25.9
309.0,25.8
309.5,25.8
310.0,25.7
310.5,25.7
311.0,25.6
311.5,25.6
312.0,25.5
312.5,25.4
313.0,25.4
313.5,25.3
314.0,25.3
314.5,25.2
315.0,25.1
315.5,25.1
316.0,25.1
316.5,25
317.0,24.9
317.5,24.9
318.0,24.8
318.5,24.8
319.0,24.7
319.5,24.7
320.0,24.6
320.5,24.5
321.0,24.5
321.5,24.4
322.0,24.4
322.5,24.3
323.0,24.2
323.5,24.2
324.0,24.2
324.5,24.1
325.0,24.1
325.5,24
326.0,24
326.5,23.9
327.0,23.9
327.5,23.9
328.0,23.8
328.5,23.8
329.0,23.7
329.5,23.7
330.0,23.6
330.5,23.6
331.0,23.6
331.5,23.5
332.0,23.5
332.5,23.5
333.0,23.4
333.5,23.4
334.0,23.3
334.5,23.3
335.0,23.3
335.5,23.2
336.0,23.2
336.5,23.2
337.0,23.1
337.5,23.1
338.0,23.1
338.5,23
339.0,23
339.5,23
340.0,22.9
340.5,22.9
341.0,22.9
341.5,22.8
342.0,22.8
342.5,22.8
343.0,22.8
343.5,22.7
344.0,22.7
344.5,22.7
345.0,22.6
345.5,22.6
346.0,22.6
346.5,22.6
347.0,22.5
347.5,22.5
348.0,22.5
348.5,22.5
349.0,22.4
349.5,22.4
350.0,22.4
350.5,22.3
351.0,22.3
351.5,22.3
352.0,22.3
352.5,22.3
353.0,22.2
353.5,22.2
354.0,22.1
354.5,22.1
355.0,22.1
355.5,22.1
356.0,22
356.5,22
357.0,22
357.5,22
358.0,22
358.5,22
359.0,21.9
359.5,21.9
360.0,21.9
360.5,21.9
361.0,21.8
361.5,21.8
362.0,21.8
362.5,21.8
363.0,21.7
363.5,21.7
364.0,21.7
364.5,21.7
365.0,21.6
365.5,21.6
366.0,21.6
366.5,21.6
367.0,21.6
367.5,21.5
368.0,21.5
368.5,21.5
369.0,21.5
369.5,21.4
370.0,21.4
370.5,21.4
371.0,21.4
371.5,21.4
372.0,21.4
372.5,21.3
373.0,21.3
373.5,21.3
374.0,21.3
374.5,21.3
375.0,21.2
375.5,21.2
376.0,21.2
376.5,21.2
377.0,21.2
377.5,21.1
378.0,21.1
378.5,21.1
379.0,21.1
379.5,21.1
380.0,21
380.5,21
381.0,21
381.5,21
382.0,21
382.5,21
383.0,20.9
383.5,20.9
384.0,20.9
384.5,20.9
385.0,20.9
385.5,20.8
386.0,20.8
386.5,20.8
387.0,20.8
387.5,20.7
388.0,20.7
388.5,20.7
389.0,20.7
389.5,20.7
390.0,20.7
390.5,20.6
391.0,20.6
391.5,20.6
392.0,20.6
392.5,20.6
393.0,20.5
393.5,20.5
394.0,20.5
394.5,20.5
395.0,20.5
395.5,20.5
396.0,20.4
396.5,20.4
397.0,20.4
397.5,20.4
398.0,20.4
398.5,20.4
399.0,20.3
399.5,20.3
400.0,20.3
400.5,20.3
401.0,20.2
401.5,20.2
402.0,20.2
402.5,20.2
403.0,20.2
403.5,20.2
404.0,20.1
404.5,20.1
405.0,20.1
405.5,20.1
406.0,20.1
406.5,20.1
407.0,20
407.5,20
408.0,20
408.5,20
409.0,20
409.5,20
410.0,19.9
410.5,19.9
411.0,19.9
411.5,19.9
412.0,19.9
412.5,19.9
413.0,19.8
413.5,19.8
414.0,19.8
414.5,19.8
415.0,19.8
415.5,19.8
416.0,19.7
416.5,19.7
417.0,19.7
417.5,19.7
418.0,19.7
418.5,19.6
419.0,19.6
419.5,19.6
420.0,19.6
420.5,19.6
421.0,19.6
421.5,19.5
422.0,19.5
422.5,19.5
423.0,19.5
423.5,19.5
424.0,19.5
424.5,19.4
425.0,19.4
425.5,19.4
426.0,19.4
426.5,19.4
427.0,19.4
427.5,19.3
428.0,19.3
428.5,19.3
429.0,19.3
429.5,19.3
430.0,19.3
430.5,19.2
431.0,19.2
431.5,19.2
432.0,19.2
432.5,19.2
433.0,19.2
433.5,19.1
434.0,19.1
434.5,19.1
435.0,19.1
435.5,19.1
436.0,19.1
436.5,19.1
437.0,19.1
437.5,19
438.0,19
438.5,19
439.0,19
439.5,19
440.0,19
440.5,18.9
441.0,18.9
441.5,18.9
442.0,18.9
442.5,18.8
443.0,18.9
443.5,18.9
444.0,18.8
444.5,18.8
445.0,18.8
445.5,18.8
446.0,18.8
446.5,18.8
447.0,18.7
447.5,18.7
448.0,18.7
448.5,18.7
449.0,18.6
449.5,18.6
450.0,18.6
450.5,18.6
451.0,18.6
451.5,18.6
452.0,18.6
452.5,18.6
453.0,18.5
453.5,18.5
454.0,18.5
454.5,18.5
455.0,18.5
455.5,18.5
456.0,18.4
456.5,18.4
457.0,18.4
457.5,18.4
458.0,18.4
458.5,18.4
459.0,18.4
459.5,18.3
460.0,18.3
