Thoi_Gian_Giay,Nhiet_Do_C
0.0,49.3
0.5,49.3
1.0,49.3
1.5,49.2
2.0,49.2
2.5,49.2
3.0,49.2
3.5,49.2
4.0,49.1
4.5,49.1
5.0,49.1
5.5,49.1
6.0,49
6.5,49
7.0,49
7.5,49
8.0,48.9
8.5,48.9
9.0,48.9
9.5,48.9
10.0,48.8
10.5,48.8
11.0,48.7
11.5,48.7
12.0,48.7
12.5,48.6
13.0,48.6
13.5,48.6
14.0,48.5
14.5,48.5
15.0,48.5
15.5,48.4
16.0,48.4
16.5,48.4
17.0,48.4
17.5,48.4
18.0,48.3
18.5,48.3
19.0,48.3
19.5,48.2
20.0,48.2
20.5,48.1
21.0,48.1
21.5,48
22.0,47.9
22.5,47.8
23.0,47.7
23.5,47.6
24.0,47.5
24.5,47.4
25.0,47.3
25.5,47.2
26.0,47
26.5,46.9
27.0,46.8
27.5,46.7
28.0,46.6
28.5,46.5
29.0,46.4
29.5,46.3
30.0,46.2
30.5,46.1
31.0,46
31.5,45.9
32.0,45.8
32.5,45.7
33.0,45.6
33.5,45.5
34.0,45.4
34.5,45.3
35.0,45.2
35.5,45.1
36.0,45
36.5,44.9
37.0,44.9
37.5,44.8
38.0,44.7
38.5,44.6
39.0,44.5
39.5,44.5
40.0,44.4
40.5,44.3
41.0,44.2
41.5,44.1
42.0,44.1
42.5,44
43.0,43.9
43.5,43.9
44.0,43.7
44.5,43.7
45.0,43.6
45.5,43.6
46.0,43.5
46.5,43.4
47.0,43.3
47.5,43.3
48.0,43.2
48.5,43.2
49.0,43.1
49.5,43.1
50.0,43
50.5,42.9
51.0,42.9
51.5,42.8
52.0,42.7
52.5,42.7
53.0,42.6
53.5,42.6
54.0,42.5
54.5,42.4
55.0,42.4
55.5,42.4
56.0,42.3
56.5,42.3
57.0,42.2
57.5,42.1
58.0,42.1
58.5,42
59.0,42
59.5,41.9
60.0,41.8
60.5,41.8
61.0,41.8
61.5,41.7
62.0,41.6
62.5,41.6
63.0,41.6
63.5,41.5
64.0,41.5
64.5,41.4
65.0,41.4
65.5,41.3
66.0,41.3
66.5,41.2
67.0,41.2
67.5,41.1
68.0,41.1
68.5,41.1
69.0,41
69.5,41
70.0,40.9
70.5,40.9
71.0,40.8
71.5,40.8
72.0,40.7
72.5,40.7
73.0,40.7
73.5,40.6
74.0,40.6
74.5,40.5
75.0,40.5
75.5,40.4
76.0,40.4
76.5,40.3
77.0,40.3
77.5,40.2
78.0,40.2
78.5,40.1
79.0,40.1
79.5,40.1
80.0,40
80.5,40
81.0,39.9
81.5,39.9
82.0,39.8
82.5,39.8
83.0,39.7
83.5,39.7
84.0,39.6
84.5,39.6
85.0,39.6
85.5,39.6
86.0,39.5
86.5,39.5
87.0,39.4
87.5,39.4
88.0,39.3
88.5,39.3
89.0,39.2
89.5,39.2
90.0,39.1
90.5,39.1
91.0,39.1
91.5,39
92.0,39
92.5,38.9
93.0,38.9
93.5,38.9
94.0,38.8
94.5,38.8
95.0,38.7
95.5,38.7
96.0,38.6
96.5,38.6
97.0,38.5
97.5,38.5
98.0,38.5
98.5,38.4
99.0,38.4
99.5,38.3
100.0,38.3
100.5,38.2
101.0,38.2
101.5,38.2
102.0,38.1
102.5,38.1
103.0,38.1
103.5,38
104.0,38
104.5,38
105.0,37.9
105.5,37.9
106.0,37.8
106.5,37.8
107.0,37.7
107.5,37.7
108.0,37.7
108.5,37.6
109.0,37.6
109.5,37.5
110.0,37.5
110.5,37.5
111.0,37.4
111.5,37.4
112.0,37.3
112.5,37.3
113.0,37.3
113.5,37.2
114.0,37.2
114.5,37.1
115.0,37.1
115.5,37.1
116.0,37
116.5,37
117.0,37
117.5,36.9
118.0,36.8
118.5,36.8
119.0,36.8
119.5,36.7
120.0,36.7
120.5,36.7
121.0,36.6
