Thoi_Gian_Giay,Nhiet_Do_C
0.0,32.1
0.5,32.1
1.0,32.1
1.5,32.1
2.0,32.1
2.5,32.1
3.0,32.1
3.5,32.1
4.0,32.1
4.5,32.1
5.0,32.1
5.5,32.1
6.0,32.1
6.5,32.1
7.0,32.1
7.5,32.1
8.0,32.1
8.5,32.1
9.0,32.1
9.5,32.1
10.0,32.1
10.5,32.2
11.0,32.2
11.5,32.1
12.0,32.2
12.5,32.2
13.0,32.2
13.5,32.1
14.0,32.2
14.5,32.1
15.0,32.2
15.5,32.1
16.0,32.2
16.5,32.1
17.0,32.1
17.5,32.2
18.0,32.1
18.5,32.1
19.0,32.1
19.5,32.1
20.0,32
20.5,32
21.0,32
21.5,32
22.0,32
22.5,31.9
23.0,31.8
23.5,31.8
24.0,31.8
24.5,31.7
25.0,31.6
25.5,31.6
26.0,31.5
26.5,31.4
27.0,31.4
27.5,31.3
28.0,31.3
28.5,31.2
29.0,31.1
29.5,31
30.0,30.9
30.5,30.9
31.0,30.8
31.5,30.8
32.0,30.7
32.5,30.6
33.0,30.5
33.5,30.5
34.0,30.4
34.5,30.3
35.0,30.3
35.5,30.2
36.0,30.1
36.5,30
37.0,30
37.5,29.9
38.0,29.9
38.5,29.8
39.0,29.7
39.5,29.7
40.0,29.7
40.5,29.6
41.0,29.6
41.5,29.5
42.0,29.5
42.5,29.4
43.0,29.4
43.5,29.3
44.0,29.3
44.5,29.2
45.0,29.3
45.5,29.4
46.0,29.6
46.5,29.7
47.0,29.8
47.5,29.8
48.0,29.7
48.5,29.7
49.0,29.6
49.5,29.5
50.0,29.5
50.5,29.4
51.0,29.3
51.5,29.3
52.0,29.2
52.5,29.2
53.0,29.1
53.5,29
54.0,29
54.5,28.9
55.0,28.9
55.5,28.8
56.0,28.7
56.5,28.7
57.0,28.7
57.5,28.6
58.0,28.6
58.5,28.5
59.0,28.4
59.5,28.4
60.0,28.4
60.5,28.3
61.0,28.3
61.5,28.3
62.0,28.2
62.5,28.2
63.0,28.1
63.5,28.1
64.0,28.1
64.5,28
65.0,28
65.5,28
66.0,27.9
66.5,27.9
67.0,27.8
67.5,27.8
68.0,27.8
68.5,27.8
69.0,27.7
69.5,27.7
70.0,27.7
70.5,27.6
71.0,27.6
71.5,27.6
72.0,27.5
72.5,27.5
73.0,27.5
73.5,27.5
74.0,27.5
74.5,27.4
75.0,27.4
75.5,27.4
76.0,27.3
76.5,27.3
77.0,27.3
77.5,27.3
78.0,27.2
78.5,27.3
79.0,27.2
79.5,27.2
80.0,27.2
80.5,27.2
81.0,27.1
81.5,27.1
82.0,27.1
82.5,27.1
83.0,27.1
83.5,27.1
84.0,27
84.5,27
85.0,27
85.5,27
86.0,27
86.5,27
87.0,26.9
87.5,26.9
88.0,26.9
88.5,26.9
89.0,26.9
89.5,26.8
90.0,26.8
90.5,26.8
91.0,26.8
91.5,26.8
92.0,26.7
92.5,26.7
93.0,26.7
93.5,26.7
94.0,26.7
94.5,26.7
95.0,26.7
95.5,26.6
96.0,26.6
96.5,26.6
97.0,26.6
97.5,26.6
98.0,26.6
98.5,26.6
99.0,26.6
99.5,26.6
100.0,26.5
100.5,26.6
101.0,26.5
101.5,26.5
102.0,26.5
102.5,26.5
103.0,26.6
103.5,26.5
104.0,26.5
104.5,26.5
105.0,26.5
105.5,26.6
106.0,26.6
106.5,26.6
107.0,26.6
107.5,26.6
108.0,26.6
108.5,26.6
109.0,26.7
109.5,26.7
110.0,26.7
110.5,26.7
111.0,26.8
111.5,26.8
112.0,26.9
112.5,26.9
113.0,26.9
113.5,26.9
114.0,27
114.5,27
115.0,27
115.5,27
116.0,27.1
116.5,27.1
117.0,27.2
117.5,27.2
118.0,27.2
118.5,27.2
119.0,27.3
119.5,27.3
120.0,27.3
120.5,27.4
121.0,27.4
121.5,27.4
122.0,27.4
122.5,27.5
123.0,27.5
123.5,27.5
124.0,27.5
124.5,27.5
125.0,27.6
125.5,27.6
126.0,27.6
126.5,27.6
127.0,27.6
127.5,27.6
128.0,27.6
128.5,27.6
129.0,27.7
129.5,27.7
130.0,27.7
130.5,27.7
131.0,27.7
131.5,27.7
132.0,27.7
132.5,27.7
133.0,27.7
133.5,27.8
134.0,27.8
134.5,27.8
135.0,27.8
135.5,27.8
136.0,27.8
136.5,27.8
137.0,27.8
137.5,27.8
138.0,27.8
138.5,27.8
139.0,27.8
139.5,27.9
140.0,27.8
140.5,27.8
141.0,27.8
141.5,27.9
142.0,27.8
142.5,27.8
143.0,27.8
143.5,27.9
144.0,27.8
144.5,27.8
145.0,27.9
145.5,27.9
146.0,27.9
146.5,27.8
147.0,27.9
147.5,27.9
148.0,27.9
148.5,27.9
149.0,27.9
149.5,27.8
150.0,27.8
150.5,27.9
151.0,27.9
151.5,27.9
152.0,27.9
152.5,27.9
153.0,27.8
153.5,27.9
154.0,27.9
154.5,27.8
155.0,27.8
155.5,27.8
156.0,27.8
156.5,27.8
157.0,27.8
157.5,27.8
158.0,27.8
158.5,27.8
159.0,27.8
159.5,27.8
160.0,27.8
160.5,27.8
161.0,27.8
161.5,27.8
162.0,27.8
162.5,27.8
163.0,27.8
163.5,27.8
164.0,27.8
164.5,27.8
165.0,27.8
165.5,27.8
166.0,27.8
166.5,27.8
167.0,27.8
167.5,27.8
168.0,27.7
168.5,27.8
169.0,27.8
169.5,27.8
170.0,27.7
170.5,27.7
171.0,27.7
171.5,27.7
172.0,27.7
172.5,27.7
173.0,27.8
173.5,27.7
174.0,27.7
174.5,27.7
175.0,27.7
175.5,27.7
176.0,27.7
176.5,27.7
177.0,27.7
177.5,27.7
178.0,27.7
178.5,27.7
179.0,27.7
179.5,27.6
180.0,27.7
180.5,27.7
181.0,27.6
181.5,27.7
182.0,27.7
182.5,27.6
183.0,27.6
183.5,27.6
184.0,27.6
184.5,27.6
185.0,27.6
185.5,27.6
186.0,27.6
186.5,27.6
187.0,27.6
187.5,27.6
188.0,27.6
188.5,27.6
189.0,27.6
189.5,27.6
190.0,27.6
190.5,27.6
191.0,27.6
191.5,27.5
192.0,27.6
192.5,27.5
193.0,27.5
193.5,27.5
194.0,27.5
194.5,27.5
195.0,27.5
195.5,27.5
196.0,27.5
196.5,27.5
197.0,27.5
197.5,27.5
198.0,27.5
198.5,27.5
199.0,27.5
199.5,27.5
200.0,27.4
200.5,27.5
201.0,27.5
201.5,27.4
202.0,27.4
202.5,27.4
203.0,27.4
203.5,27.4
204.0,27.4
204.5,27.4
205.0,27.4
205.5,27.4
206.0,27.4
206.5,27.4
207.0,27.4
207.5,27.4
208.0,27.4
208.5,27.4
209.0,27.4
209.5,27.4
210.0,27.3
210.5,27.4
211.0,27.3
211.5,27.3
212.0,27.3
212.5,27.3
213.0,27.3
213.5,27.3
214.0,27.3
214.5,27.3
215.0,27.3
215.5,27.3
216.0,27.3
216.5,27.3
217.0,27.3
217.5,27.3
218.0,27.3
218.5,27.3
219.0,27.2
219.5,27.2
220.0,27.2
220.5,27.2
221.0,27.2
221.5,27.2
222.0,27.2
222.5,27.2
223.0,27.2
223.5,27.2
224.0,27.2
224.5,27.2
225.0,27.2
225.5,27.2
226.0,27.2
226.5,27.2
227.0,27.1
227.5,27.1
228.0,27.2
228.5,27.1
229.0,27.2
229.5,27.1
230.0,27.1
230.5,27.1
231.0,27.1
231.5,27.1
232.0,27.1
232.5,27.1
233.0,27.1
233.5,27.1
234.0,27.1
234.5,27.1
235.0,27.1
235.5,27.1
236.0,27
236.5,27.1
237.0,27
237.5,27
238.0,27
238.5,27
239.0,27
239.5,27
240.0,27
240.5,27
241.0,27
241.5,27
242.0,27
242.5,27
243.0,27
243.5,27
244.0,27
244.5,27
245.0,27
245.5,26.9
246.0,26.9
246.5,26.9
247.0,26.9
247.5,26.9
248.0,26.9
248.5,26.9
249.0,26.9
249.5,26.9
250.0,26.9
250.5,26.9
251.0,26.9
251.5,26.9
252.0,26.9
252.5,26.9
253.0,26.8
253.5,26.8
254.0,26.8
254.5,26.8
255.0,26.8
255.5,26.8
256.0,26.8
256.5,26.8
257.0,26.7
257.5,26.7
258.0,26.7
258.5,26.7
259.0,26.7
259.5,26.7
260.0,26.7
260.5,26.7
261.0,26.7
261.5,26.7
262.0,26.7
262.5,26.7
263.0,26.7
263.5,26.7
264.0,26.7
264.5,26.6
265.0,26.7
265.5,26.7
266.0,26.7
266.5,26.6
267.0,26.7
267.5,26.6
268.0,26.6
268.5,26.6
269.0,26.6
269.5,26.6
270.0,26.6
270.5,26.6
271.0,26.6
271.5,26.6
272.0,26.6
272.5,26.6
273.0,26.6
273.5,26.5
274.0,26.5
274.5,26.5
275.0,26.5
275.5,26.5
276.0,26.5
276.5,26.5
277.0,26.5
277.5,26.5
278.0,26.5
278.5,26.5
279.0,26.5
279.5,26.5
280.0,26.5
280.5,26.5
281.0,26.5
281.5,26.5
282.0,26.4
282.5,26.5
283.0,26.4
283.5,26.4
284.0,26.4
284.5,26.4
285.0,26.4
285.5,26.4
286.0,26.4
286.5,26.4
287.0,26.4
287.5,26.4
288.0,26.4
288.5,26.4
289.0,26.3
289.5,26.4
290.0,26.4
290.5,26.3
291.0,26.3
291.5,26.3
292.0,26.3
292.5,26.3
293.0,26.3
293.5,26.3
294.0,26.3
294.5,26.3
295.0,26.3
295.5,26.3
296.0,26.3
296.5,26.2
297.0,26.3
297.5,26.3
298.0,26.3
298.5,26.2
299.0,26.3
299.5,26.2
300.0,26.2
300.5,26.2
301.0,26.2
301.5,26.2
302.0,26.2
302.5,26.2
303.0,26.2
303.5,26.2
304.0,26.2
304.5,26.2
305.0,26.2
305.5,26.1
306.0,26.1
306.5,26.1
307.0,26.1
307.5,26.2
308.0,26.1
308.5,26.1
309.0,26.1
309.5,26.1
310.0,26.1
310.5,26.1
311.0,26.1
311.5,26.1
312.0,26.1
312.5,26.1
313.0,26.1
313.5,26.1
314.0,26
314.5,26.1
315.0,26
315.5,26
316.0,26
316.5,26
317.0,26
317.5,26
318.0,26
318.5,26
319.0,26
319.5,26
320.0,26
320.5,25.9
321.0,26
321.5,25.9
322.0,25.9
322.5,25.9
323.0,25.9
323.5,25.9
324.0,25.9
324.5,25.8
325.0,25.8
325.5,25.8
326.0,25.8
326.5,25.8
327.0,25.8
327.5,25.8
328.0,25.7
328.5,25.7
329.0,25.7
329.5,25.7
330.0,25.7
330.5,25.7
331.0,25.7
331.5,25.7
332.0,25.7
332.5,25.6
333.0,25.6
333.5,25.6
334.0,25.6
334.5,25.6
335.0,25.6
335.5,25.6
336.0,25.6
336.5,25.6
337.0,25.5
337.5,25.5
338.0,25.5
338.5,25.5
339.0,25.5
339.5,25.5
340.0,25.5
340.5,25.5
341.0,25.5
341.5,25.4
342.0,25.5
342.5,25.4
343.0,25.4
343.5,25.4
344.0,25.4
344.5,25.4
345.0,25.4
345.5,25.4
346.0,25.4
346.5,25.4
347.0,25.4
347.5,25.4
348.0,25.4
348.5,25.4
349.0,25.3
349.5,25.3
350.0,25.3
350.5,25.3
351.0,25.3
351.5,25.3
352.0,25.3
352.5,25.3
353.0,25.3
353.5,25.3
354.0,25.3
354.5,25.3
355.0,25.3
355.5,25.3
356.0,25.3
356.5,25.3
357.0,25.3
357.5,25.3
358.0,25.2
358.5,25.3
359.0,25.2
359.5,25.3
360.0,25.2
360.5,25.2
361.0,25.2
361.5,25.2
362.0,25.2
362.5,25.2
363.0,25.2
363.5,25.2
364.0,25.2
364.5,25.2
365.0,25.2
365.5,25.2
366.0,25.2
366.5,25.2
367.0,25.2
367.5,25.2
368.0,25.2
368.5,25.2
369.0,25.2
369.5,25.2
370.0,25.2
370.5,25.2
371.0,25.2
371.5,25.2
372.0,25.1
372.5,25.2
373.0,25.2
373.5,25.1
374.0,25.1
374.5,25.1
375.0,25.1
375.5,25.1
376.0,25.1
376.5,25.1
377.0,25.1
377.5,25.1
378.0,25.1
378.5,25.1
379.0,25.1
379.5,25.1
380.0,25.1
380.5,25.1
381.0,25.1
381.5,25.1
382.0,25.1
382.5,25.1
383.0,25.1
383.5,25.1
384.0,25.1
384.5,25.1
385.0,25.1
385.5,25.1
386.0,25.1
386.5,25.1
387.0,25.1
387.5,25.1
388.0,25.1
388.5,25.1
389.0,25.1
389.5,25.1
390.0,25.1
390.5,25.1
391.0,25.1
391.5,25.1
392.0,25.1
392.5,25.1
393.0,25.1
393.5,25
394.0,25
394.5,25
395.0,25
395.5,25
396.0,25
396.5,25.1
397.0,25.1
397.5,25.1
398.0,25
398.5,25.1
399.0,25
399.5,25
400.0,25.1
400.5,25
401.0,25
401.5,25
402.0,25
402.5,25
403.0,25
403.5,25
404.0,25
404.5,25
405.0,25
405.5,25
406.0,25
406.5,25
407.0,25
407.5,25
408.0,25
408.5,25
409.0,25
409.5,25
410.0,25
410.5,25
411.0,25
411.5,25
412.0,25
412.5,25
413.0,25
413.5,25
414.0,25
414.5,25
415.0,25
415.5,25
416.0,25
416.5,25
417.0,25
417.5,25
418.0,25
418.5,25
419.0,25
419.5,25
420.0,25
420.5,25
421.0,25
421.5,25
422.0,25
422.5,25
423.0,25
423.5,25
424.0,25
424.5,25
425.0,25
425.5,25
426.0,25
426.5,25
427.0,25
427.5,25
428.0,25
428.5,25
429.0,25
429.5,25
430.0,25
430.5,25
431.0,25
431.5,25
432.0,25
432.5,25
433.0,25
433.5,25
434.0,25
434.5,25
435.0,25
435.5,25
436.0,24.9
436.5,25
437.0,25
437.5,25
438.0,25
438.5,25
439.0,25
439.5,25
440.0,25
440.5,24.9
441.0,24.9
441.5,25
442.0,25
442.5,25
443.0,24.9
443.5,25
444.0,24.9
444.5,25
445.0,24.9
445.5,24.9
446.0,24.9
446.5,24.9
447.0,24.9
447.5,24.9
448.0,25
448.5,24.9
449.0,24.9
449.5,24.9
450.0,24.9
450.5,24.9
451.0,24.9
451.5,24.9
452.0,24.9
452.5,24.9
453.0,24.9
453.5,24.9
454.0,24.9
454.5,24.9
455.0,24.9
455.5,24.9
456.0,24.9
456.5,24.9
457.0,24.9
457.5,24.9
458.0,24.9
458.5,24.9
459.0,24.9
459.5,24.9
460.0,24.9
460.5,24.9
461.0,24.9
461.5,24.8
462.0,24.9
462.5,24.9
463.0,24.9
463.5,24.9
464.0,24.9
464.5,24.8
465.0,24.8
465.5,24.8
466.0,24.8
466.5,24.8
467.0,24.8
467.5,24.8
468.0,24.8
468.5,24.9
469.0,24.8
469.5,24.8
470.0,24.8
470.5,24.8
471.0,24.8
471.5,24.8
472.0,24.8
472.5,24.8
473.0,24.8
473.5,24.8
474.0,24.8
474.5,24.8
475.0,24.8
475.5,24.8
476.0,24.8
476.5,24.8
477.0,24.8
477.5,24.8
478.0,24.8
478.5,24.8
479.0,24.8
479.5,24.8
480.0,24.8
480.5,24.8
481.0,24.8
481.5,24.8
482.0,24.8
482.5,24.8
483.0,24.8
483.5,24.8
484.0,24.8
484.5,24.8
485.0,24.8
485.5,24.8
486.0,24.8
486.5,24.8
487.0,24.8
487.5,24.8
488.0,24.7
488.5,24.8
489.0,24.7
489.5,24.8
490.0,24.8
490.5,24.8
491.0,24.7
491.5,24.7
492.0,24.8
492.5,24.7
493.0,24.7
493.5,24.7
494.0,24.7
494.5,24.8
495.0,24.8
495.5,24.7
496.0,24.7
496.5,24.7
497.0,24.7
497.5,24.7
498.0,24.7
498.5,24.7
499.0,24.7
499.5,24.7
500.0,24.7
500.5,24.7
501.0,24.7
501.5,24.7
502.0,24.7
502.5,24.7
503.0,24.7
503.5,24.7
504.0,24.7
504.5,24.7
505.0,24.7
505.5,24.7
506.0,24.7
506.5,24.7
507.0,24.7
507.5,24.7
508.0,24.7
508.5,24.7
509.0,24.7
509.5,24.7
510.0,24.7
510.5,24.7
511.0,24.7
511.5,24.7
512.0,24.7
512.5,24.6
513.0,24.6
513.5,24.7
514.0,24.6
514.5,24.6
515.0,24.6
515.5,24.6
516.0,24.6
516.5,24.6
517.0,24.6
517.5,24.6
518.0,24.6
518.5,24.6
519.0,24.6
519.5,24.6
520.0,24.6
520.5,24.6
521.0,24.6
521.5,24.6
522.0,24.6
522.5,24.6
523.0,24.6
523.5,24.6
524.0,24.6
524.5,24.6
525.0,24.6
525.5,24.6
526.0,24.6
526.5,24.6
527.0,24.6
527.5,24.6
528.0,24.6
528.5,24.6
529.0,24.6
529.5,24.6
530.0,24.6
530.5,24.6
531.0,24.6
531.5,24.6
532.0,24.6
532.5,24.6
533.0,24.6
533.5,24.6
534.0,24.6
534.5,24.5
535.0,24.5
535.5,24.5
536.0,24.5
536.5,24.5
537.0,24.5
537.5,24.6
538.0,24.5
538.5,24.5
539.0,24.5
539.5,24.5
540.0,24.5
540.5,24.5
541.0,24.5
541.5,24.5
542.0,24.5
542.5,24.5
543.0,24.5
543.5,24.5
544.0,24.5
544.5,24.5
545.0,24.5
545.5,24.5
546.0,24.5
